interval,time,set,stroke,kg
103,344009,1,24,0.28
103,344112,1,24,1.5
103,344216,1,24,3.26
103,344319,1,24,4.5
103,344423,1,24,4.97
103,344526,1,24,2.84
103,344630,1,24,0.98
103,344733,1,24,0.07
103,344836,1,24,-0.02
103,344940,1,24,-0.02
103,345143,1,25,-0.01
103,345247,1,25,-0.01
103,345350,1,25,-0.02
103,345454,1,25,-0.02
103,345557,1,25,-0.02
103,345660,1,25,-0.02
103,345764,1,25,0.02
103,345867,1,25,0.32
103,345971,1,25,1.42
103,346074,1,25,4.36
103,346178,1,25,4.42
103,346281,1,25,3.56
103,346384,1,25,1.96
103,346488,1,25,0.43
103,346591,1,25,-0.01
103,346695,1,25,-0.01
103,346898,1,26,-0.01
103,347002,1,26,-0.01
103,347105,1,26,-0.02
103,347208,1,26,-0.02
103,347312,1,26,-0.02
103,347415,1,26,-0.02
103,347519,1,26,-0.01
103,347622,1,26,0.07
103,347726,1,26,1.94
104,347829,1,26,3.88
103,347933,1,26,5.09
103,348037,1,26,5.12
103,348140,1,26,4.04
103,348244,1,26,0.62
103,348347,1,26,0.01
103,348451,1,26,-0.02
103,348554,1,26,-0.02
103,348758,1,27,-0.02
103,348861,1,27,-0.02
103,348964,1,27,-0.02
103,349068,1,27,-0.02
103,349171,1,27,-0.02
103,349275,1,27,-0.02
103,349378,1,27,-0.02
103,349482,1,27,-0.02
103,349585,1,27,-0.02
103,349688,1,27,-0.02
103,349792,1,27,1.11
103,349895,1,27,2.9
103,349999,1,27,4.28
103,350102,1,27,4.53
103,350206,1,27,3.43
103,350309,1,27,0.17
103,350412,1,27,-0.02
103,350516,1,27,-0.02
103,350719,1,28,-0.02
103,350823,1,28,-0.02
103,350926,1,28,-0.02
103,351030,1,28,-0.02
103,351133,1,28,-0.02
103,351236,1,28,-0.02
103,351340,1,28,0.1
103,351443,1,28,0.75
103,351547,1,28,2.32
103,351650,1,28,3.99
103,351754,1,28,4.71
103,351857,1,28,3.49
103,351960,1,28,2.31
103,352064,1,28,0.91
103,352167,1,28,0.08
103,352271,1,28,-0.02
103,352474,1,29,-0.02
103,352578,1,29,-0.02
103,352681,1,29,-0.02
103,352784,1,29,-0.02
103,352888,1,29,-0.02
103,352991,1,29,-0.02
103,353095,1,29,0.06
103,353198,1,29,0.58
103,353302,1,29,1.77
103,353405,1,29,3.05
103,353509,1,29,3.45
103,353612,1,29,2.32
103,353715,1,29,1.33
103,353819,1,29,0.35
104,353922,1,29,-0.01
103,354027,1,29,-0.01
103,354130,1,29,-0.01
103,354234,1,29,-0.01
103,354337,1,29,-0.01
103,354440,1,29,-0.01
103,354644,1,30,-0.01
103,354747,1,30,-0.01
103,354851,1,30,-0.02
103,354954,1,30,-0.03
103,355058,1,30,-0.02
103,355161,1,30,0.03
104,355264,1,30,0.38
103,355369,1,30,1.53
103,355472,1,30,2.99
103,355576,1,30,3.55
103,355679,1,30,2.49
103,355783,1,30,1.17
103,355886,1,30,0.2
103,355989,1,30,-0.01
104,356093,1,30,-0.02
103,356297,1,31,-0.01
103,356401,1,31,-0.02
103,356504,1,31,-0.02
103,356608,1,31,-0.02
103,356711,1,31,-0.02
103,356814,1,31,0.03
103,356918,1,31,0.33
103,357021,1,31,1.47
103,357125,1,31,3.97
103,357228,1,31,3.71
103,357332,1,31,2.43
103,357435,1,31,0.88
103,357539,1,31,0.07
103,357642,1,31,-0.01
103,357745,1,31,-0.02
103,357949,1,32,-0.01
103,358052,1,32,-0.01
103,358156,1,32,-0.02
103,358259,1,32,-0.02
103,358363,1,32,-0.02
103,358466,1,32,-0.02
103,358569,1,32,0.04
103,358673,1,32,1.64
103,358776,1,32,3.03
103,358880,1,32,3.95
103,358983,1,32,3.68
103,359087,1,32,2.51
103,359190,1,32,0.22
103,359293,1,32,-0.01
103,359397,1,32,-0.02
103,359500,1,32,-0.02
103,359704,1,33,-0.02
103,359807,1,33,-0.02
103,359911,1,33,-0.02
103,360014,1,33,-0.02
103,360117,1,33,-0.02
103,360221,1,33,-0.02
103,360324,1,33,-0.02
103,360428,1,33,-0.02
103,360531,1,33,0.02
103,360635,1,33,0.25
103,360738,1,33,1.36
103,360841,1,33,4.09
103,360945,1,33,4.21
103,361048,1,33,3.09
103,361152,1,33,1.36
103,361255,1,33,0.17
103,361359,1,33,-0.02
103,361562,1,34,-0.02
103,361665,1,34,-0.02
103,361769,1,34,-0.02
103,361872,1,34,-0.02
103,361976,1,34,-0.02
103,362079,1,34,-0.02
103,362183,1,34,-0.02
103,362286,1,34,-0.02
103,362389,1,34,0.03
103,362493,1,34,0.22
103,362596,1,34,0.86
103,362700,1,34,2.37
103,362803,1,34,3.49
103,362907,1,34,1.43
103,363010,1,34,0.31
103,363114,1,34,-0.01
103,363217,1,34,-0.02
103,363320,1,34,-0.01
103,363424,1,34,-0.01
103,363627,1,35,-0.01
103,363731,1,35,-0.01
103,363834,1,35,-0.02
103,363938,1,35,-0.02
103,364041,1,35,-0.02
103,364144,1,35,0.03
103,364248,1,35,0.44
103,364351,1,35,1.79
103,364455,1,35,4.69
103,364558,1,35,5.2
103,364662,1,35,5.05
103,364765,1,35,4.23
103,364868,1,35,2.65
103,364972,1,35,0.04
103,365075,1,35,-0.02
103,365179,1,35,-0.02
103,365382,1,36,-0.02
103,365486,1,36,-0.02
103,365589,1,36,-0.02
103,365692,1,36,-0.02
103,365796,1,36,-0.02
103,365899,1,36,-0.02
103,366003,1,36,-0.01
103,366106,1,36,0.98
103,366210,1,36,2.75
103,366313,1,36,4.36
103,366417,1,36,5.2
103,366520,1,36,5.02
103,366623,1,36,1.72
103,366727,1,36,0.36
103,366830,1,36,-0.01
103,366934,1,36,-0.02
103,367137,1,37,-0.02
104,367241,1,37,-0.02
103,367345,1,37,-0.02
103,367448,1,37,-0.02
103,367552,1,37,-0.02
103,367655,1,37,-0.02
103,367759,1,37,-0.02
103,367862,1,37,-0.02
103,367966,1,37,0.04
103,368069,1,37,0.49
103,368172,1,37,3.49
103,368276,1,37,4.44
103,368379,1,37,4.32
103,368483,1,37,3.44
103,368586,1,37,2.07
103,368690,1,37,0.01
103,368793,1,37,-0.02
103,368896,1,37,-0.02
103,369100,1,38,-0.02
103,369203,1,38,-0.02
103,369307,1,38,-0.02
103,369410,1,38,-0.02
103,369514,1,38,-0.02
103,369617,1,38,-0.02
103,369720,1,38,-0.01
103,369824,1,38,0.14
103,369927,1,38,0.94
103,370031,1,38,2.6
103,370134,1,38,4.17
103,370238,1,38,3.69
103,370341,1,38,1.86
103,370444,1,38,0.34
103,370548,1,38,-0.01
103,370651,1,38,-0.02
103,370755,1,38,-0.01
103,370958,1,39,-0.01
103,371062,1,39,-0.01
103,371165,1,39,-0.02
103,371269,1,39,-0.02
103,371372,1,39,-0.02
103,371475,1,39,0.02
103,371579,1,39,0.37
103,371682,1,39,1.62
103,371786,1,39,4.56
103,371889,1,39,5
103,371993,1,39,4.07
103,372096,1,39,2.14
103,372199,1,39,0.43
103,372303,1,39,-0.02
103,372406,1,39,-0.02
103,372510,1,39,-0.02
103,372613,1,39,-0.02
103,372817,1,40,-0.02
103,372920,1,40,-0.02
103,373023,1,40,-0.02
103,373127,1,40,-0.02
103,373230,1,40,-0.02
103,373334,1,40,-0.02
103,373437,1,40,-0.01
103,373541,1,40,0.09
103,373644,1,40,0.68
103,373747,1,40,2.05
103,373851,1,40,3.66
103,373954,1,40,4.56
103,374058,1,40,3.45
103,374161,1,40,1.79
103,374265,1,40,0.44
103,374368,1,40,0
103,374471,1,40,-0.02
103,374675,1,41,-0.02
103,374778,1,41,-0.02
103,374882,1,41,-0.02
103,374985,1,41,-0.02
103,375089,1,41,-0.02
103,375192,1,41,0.01
103,375295,1,41,0.28
103,375399,1,41,1.39
103,375502,1,41,4.44
103,375606,1,41,4.63
103,375709,1,41,3.72
103,375813,1,41,1.94
103,375916,1,41,0.4
103,376020,1,41,-0.02
103,376123,1,41,-0.01
103,376326,1,42,-0.01
103,376430,1,42,-0.01
103,376533,1,42,-0.02
103,376637,1,42,-0.02
103,376740,1,42,-0.02
103,376844,1,42,-0.02
103,376947,1,42,0.01
103,377050,1,42,1.44
103,377154,1,42,3.2
103,377257,1,42,4.46
103,377361,1,42,4.62
103,377464,1,42,3.36
103,377568,1,42,0.3
103,377671,1,42,-0.01
103,377774,1,42,-0.02
103,377878,1,42,-0.02
103,378081,1,43,-0.02
103,378185,1,43,-0.02
103,378288,1,43,-0.02
103,378392,1,43,-0.02
103,378495,1,43,-0.02
103,378598,1,43,-0.01
103,378702,1,43,0.49
103,378805,1,43,1.67
103,378909,1,43,3.22
103,379012,1,43,4.2
103,379116,1,43,4.31
103,379219,1,43,2.13
103,379322,1,43,0.64
103,379426,1,43,0.03
103,379529,1,43,-0.02
103,379633,1,43,-0.02
103,379736,1,43,-0.01
103,379940,1,44,-0.01
103,380043,1,44,-0.01
103,380146,1,44,-0.02
103,380250,1,44,-0.02
103,380353,1,44,-0.02
103,380457,1,44,0
103,380560,1,44,0.2
103,380664,1,44,1
103,380767,1,44,3.93
103,380870,1,44,4.48
103,380974,1,44,3.43
103,381077,1,44,1.77
103,381181,1,44,0.39
103,381284,1,44,-0.02
103,381388,1,44,-0.01
103,381491,1,44,-0.01
103,381695,1,45,-0.01
103,381798,1,45,-0.01
103,381901,1,45,-0.02
103,382005,1,45,-0.02
103,382108,1,45,-0.02
103,382212,1,45,-0.02
103,382315,1,45,0.31
103,382419,1,45,1.41
103,382522,1,45,3.07
103,382625,1,45,4.41
103,382729,1,45,4.27
103,382832,1,45,0.95
103,382936,1,45,0.08
103,383039,1,45,-0.02
103,383143,1,45,-0.01
103,383346,1,46,-0.01
103,383449,1,46,-0.01
103,383553,1,46,-0.01
103,383656,1,46,-0.01
103,383760,1,46,-0.01
103,383863,1,46,-0.01
103,383967,1,46,-0.01
103,384070,1,46,-0.01
103,384173,1,46,0
103,384277,1,46,0.03
103,384380,1,46,0.05
103,384484,1,46,0.06
103,384587,1,46,0.02
103,384691,1,46,0
103,384794,1,46,0
103,384897,1,46,0
103,385001,1,46,0.04
103,385104,1,46,0.04
103,385208,1,46,0.05
103,385311,1,46,0.09
103,385415,1,46,0.11
103,385518,1,46,0.2
103,385621,1,46,0.2
103,385725,1,46,0.16
103,385828,1,46,0.1
103,385932,1,46,0.04
103,386035,1,46,-0.01
103,386139,1,46,-0.01
103,386242,1,46,-0.01
103,386345,1,46,-0.01
103,386449,1,46,-0.02
103,386552,1,46,-0.02
103,386656,1,46,-0.02
103,386759,1,46,0.05
103,386863,1,46,0.33
103,386966,1,46,0.97
103,387069,1,46,3.41
103,387173,1,46,4.1
103,387276,1,46,4.29
103,387380,1,46,4.15
103,387483,1,46,3.53
103,387587,1,46,0.4
103,387690,1,46,-0.01
103,387794,1,46,-0.02
103,387897,1,46,-0.01
103,388000,1,46,-0.01
103,388204,1,47,-0.01
103,388307,1,47,-0.01
103,388411,1,47,-0.02
103,388514,1,47,-0.02
103,388618,1,47,-0.02
103,388721,1,47,-0.02
103,388824,1,47,-0.01
103,388928,1,47,0.03
103,389031,1,47,0.34
103,389135,1,47,2.77
103,389238,1,47,3.85
103,389342,1,47,4.36
103,389445,1,47,3.89
103,389548,1,47,2.37
103,389652,1,47,0.06
103,389755,1,47,-0.01
103,389859,1,47,-0.01
103,389962,1,47,-0.01
103,390066,1,47,-0.01
103,390269,1,48,-0.01
103,390372,1,48,-0.01
103,390476,1,48,-0.02
103,390579,1,48,-0.02
103,390683,1,48,-0.02
103,390786,1,48,0.02
103,390890,1,48,0.23
103,390993,1,48,0.83
103,391096,1,48,1.9
104,391200,1,48,4.18
103,391304,1,48,4.1
103,391408,1,48,2.84
103,391511,1,48,1.13
103,391615,1,48,0.15
103,391718,1,48,-0.02
103,391821,1,48,-0.01
103,392025,1,49,-0.01
103,392128,1,49,-0.01
103,392232,1,49,-0.02
103,392335,1,49,-0.02
104,392439,1,49,-0.02
103,392543,1,49,-0.02
103,392646,1,49,-0.02
103,392750,1,49,-0.01
103,392853,1,49,0.04
103,392957,1,49,0.15
103,393060,1,49,0.47
103,393164,1,49,1.19
103,393267,1,49,2.36
103,393371,1,49,4.61
103,393474,1,49,4.81
103,393577,1,49,4.45
103,393681,1,49,3.44
103,393784,1,49,1.71
103,393888,1,49,-0.02
103,393991,1,49,-0.02
103,394095,1,49,-0.02
103,394298,1,50,-0.02
103,394401,1,50,-0.02
103,394505,1,50,-0.02
103,394608,1,50,-0.02
103,394712,1,50,-0.02
103,394815,1,50,-0.02
103,394919,1,50,-0.02
103,395022,1,50,-0.02
103,395125,1,50,-0.02
103,395229,1,50,-0.02
103,395332,1,50,-0.02
103,395436,1,50,0.04
103,395539,1,50,0.4
103,395643,1,50,1.6
103,395746,1,50,3.05
103,395850,1,50,3.94
103,395953,1,50,4.27
103,396056,1,50,3.02
103,396160,1,50,1.37
103,396263,1,50,0.2
103,396367,1,50,-0.02
103,396470,1,50,-0.01
103,396574,1,50,-0.01
103,396677,1,50,-0.01
103,396780,1,50,-0.01
103,396884,1,50,-0.01
103,396987,1,50,-0.01
103,397091,1,50,-0.01
103,397194,1,50,-0.01
103,397298,1,50,-0.01
103,397401,1,50,-0.01
103,397504,1,50,-0.01
103,397608,1,50,-0.01
103,397711,1,50,-0.01
103,397815,1,50,-0.01
103,397918,1,50,-0.01
103,398022,1,50,-0.01
103,398125,1,50,-0.01
103,398229,1,50,-0.01
103,398332,1,50,-0.01
103,398435,1,50,-0.01
103,398539,1,50,-0.01
103,398642,1,50,-0.01
103,398746,1,50,-0.01
103,398849,1,50,-0.01
103,398953,1,50,-0.01
103,399056,1,50,-0.02
103,399159,1,50,-0.02
103,399263,1,50,-0.03
103,399366,1,50,-0.03
103,399470,1,50,-0.03
103,399573,1,50,-0.03
103,399677,1,50,-0.02
104,399780,1,50,-0.02
103,399884,1,50,-0.02
103,399988,1,50,-0.01
103,400091,1,50,-0.02
103,400195,1,50,-0.02
103,400298,1,50,-0.02
103,400402,1,50,-0.02
103,400505,1,50,-0.02
